mode,candidate_family,common_N,frequency_hz,rank,score,gap_vs_best_pct,win_count,top3_count,avg_rank
c0x11,closest,17,5,6.0,1.171384602443682,25.828456269386567,0,0,5.705882352941177
c0x11,closest,17,10,4.0,0.9849900455449194,5.806219932439971,3,8,3.411764705882353
c0x11,closest,17,15,3.0,0.9738683867004144,4.6115472684494785,1,10,3.235294117647059
c0x11,closest,17,20,2.0,0.9705402383716571,4.254042341741848,3,9,3.235294117647059
c0x11,closest,17,40,5.0,0.9849953741163161,5.806792319947496,3,8,3.411764705882353
c0x11,closest,17,80,1.0,0.9309377522170826,0.0,7,16,2.0
c0x11,sparse,17,5,6.0,1.1745054004575897,25.884259284056,0,0,5.764705882352941
c0x11,sparse,17,10,5.0,0.9841742322811321,5.48443982368767,3,8,3.411764705882353
c0x11,sparse,17,15,3.0,0.9723060752162808,4.212402964092488,1,10,3.235294117647059
c0x11,sparse,17,20,2.0,0.9701499241898698,3.9813052826696893,3,8,3.2941176470588234
c0x11,sparse,17,40,4.0,0.9829864904490715,5.357136874981427,3,9,3.2941176470588234
c0x11,sparse,17,80,1.0,0.9330041795037577,0.0,7,16,2.0
c0x11,balanced,17,5,6.0,1.1697110735202008,25.621702286180124,0,0,5.705882352941177
c0x11,balanced,17,10,4.0,0.9853615447991738,5.823392996094978,3,8,3.411764705882353
c0x11,balanced,17,15,3.0,0.9743576200930633,4.641621031458887,1,10,3.2941176470588234
c0x11,balanced,17,20,2.0,0.9701996490143707,4.195073660243431,3,9,3.176470588235294
c0x11,balanced,17,40,5.0,0.9856718714505716,5.856720681107008,3,8,3.411764705882353
c0x11,balanced,17,80,1.0,0.9311377351466466,0.0,7,16,2.0
c0x11,low_total,17,5,6.0,1.1724464522601343,25.754734954638447,0,0,5.705882352941177
c0x11,low_total,17,10,5.0,0.9846242284891712,5.609223043730527,3,8,3.411764705882353
c0x11,low_total,17,15,3.0,0.9740827640664489,4.478562396536145,1,10,3.2941176470588234
c0x11,low_total,17,20,2.0,0.969786484664458,4.017750325804115,3,8,3.2941176470588234
c0x11,low_total,17,40,4.0,0.9835485631811685,5.493848899822273,3,9,3.3529411764705883
c0x11,low_total,17,80,1.0,0.9323278782966326,0.0,7,16,1.9411764705882353
c0x11,best_reclaim,17,5,6.0,1.180855776259668,27.09899897518597,0,0,5.882352941176471
c0x11,best_reclaim,17,10,4.0,0.9826196326323325,5.762256654678355,2,8,3.235294117647059
c0x11,best_reclaim,17,15,3.0,0.9744045517664045,4.878043209182992,0,11,3.411764705882353
c0x11,best_reclaim,17,20,2.0,0.9673427651942591,4.117962238804851,3,8,3.235294117647059
c0x11,best_reclaim,17,40,5.0,0.9841091832812902,5.922581395609061,2,8,3.4705882352941178
c0x11,best_reclaim,17,80,1.0,0.9290834591783143,0.0,10,16,1.7647058823529411
