mode,family,method,frequency_hz,rank,value,gap_vs_best_pct
c0x11,aggregation,geomean,5,6.0,1.1561549640562536,21.21183014678689
c0x11,aggregation,geomean,10,1.0,0.9538301357682298,0.0
c0x11,aggregation,geomean,15,3.0,0.9665174459677034,1.330143567885389
c0x11,aggregation,geomean,20,4.0,0.9723238805322629,1.9388928982766895
c0x11,aggregation,geomean,40,5.0,1.007047788535464,5.579363743248877
c0x11,aggregation,geomean,80,2.0,0.95816914639264,0.4549039144077227
c0x11,aggregation,median,5,6.0,1.154423675698958,22.33129231862483
c0x11,aggregation,median,10,3.0,0.9736314658537449,3.173209253398168
c0x11,aggregation,median,15,2.0,0.9721421044851484,3.0153854796960644
c0x11,aggregation,median,20,4.0,0.9868498784507255,4.57393026200914
c0x11,aggregation,median,40,5.0,1.0008325315072963,6.055635856289876
c0x11,aggregation,median,80,1.0,0.9436863240945245,0.0
c0x11,aggregation,arithmetic_mean,5,6.0,1.1622625739576242,21.260257308903128
c0x11,aggregation,arithmetic_mean,10,1.0,0.9584859868776553,0.0
c0x11,aggregation,arithmetic_mean,15,3.0,0.9687776930865379,1.0737461318979458
c0x11,aggregation,arithmetic_mean,20,4.0,0.9744367626891488,1.6641636946049143
c0x11,aggregation,arithmetic_mean,40,5.0,1.0129884784297771,5.6863107336256435
c0x11,aggregation,arithmetic_mean,80,2.0,0.9615041619798346,0.31488985165148975
c0x11,aggregation,trimmed_log_geomean,5,6.0,1.1480349566945165,21.26618761059722
c0x11,aggregation,trimmed_log_geomean,10,2.0,0.9608467243573479,1.4936160798024956
c0x11,aggregation,trimmed_log_geomean,15,3.0,0.9702578283282068,2.4877048861564166
c0x11,aggregation,trimmed_log_geomean,20,4.0,0.9727571260442667,2.7517040823159977
c0x11,aggregation,trimmed_log_geomean,40,5.0,0.9933726425482544,4.929307714926612
c0x11,aggregation,trimmed_log_geomean,80,1.0,0.9467065629052495,0.0
c0x11,aggregation,avg_rank,5,6.0,5.5,
c0x11,aggregation,avg_rank,10,2.0,3.05,
c0x11,aggregation,avg_rank,15,3.0,3.1,
c0x11,aggregation,avg_rank,20,4.0,3.2,
c0x11,aggregation,avg_rank,40,5.0,3.7,
c0x11,aggregation,avg_rank,80,1.0,2.45,
