mode,family,method,frequency_hz,rank,value,gap_vs_best_pct
raw,aggregation,geomean,5,6.0,1.177597949124163,26.78918701229229
raw,aggregation,geomean,10,5.0,0.9848164519394912,6.032858999632085
raw,aggregation,geomean,15,3.0,0.9726680702961661,4.724871470256864
raw,aggregation,geomean,20,2.0,0.969431658011816,4.376414611381962
raw,aggregation,geomean,40,4.0,0.9845799398927295,6.00739430673769
raw,aggregation,geomean,80,1.0,0.9287842101314162,0.0
raw,aggregation,median,5,6.0,1.1822146305998351,28.171679192943632
raw,aggregation,median,10,3.0,0.9771840039000977,5.942957749398858
raw,aggregation,median,15,2.0,0.971497385934176,5.326434019480919
raw,aggregation,median,20,4.0,0.9823908877015035,6.507470336973653
raw,aggregation,median,40,5.0,0.9890514592615874,7.229586794632081
raw,aggregation,median,80,1.0,0.9223680598115476,0.0
raw,aggregation,arithmetic_mean,5,6.0,1.1840437369114651,27.376411799987686
raw,aggregation,arithmetic_mean,10,4.0,0.9872325333775734,6.203963412586044
raw,aggregation,arithmetic_mean,15,3.0,0.9744325438461374,4.826973115044653
raw,aggregation,arithmetic_mean,20,2.0,0.9718048641485327,4.5442940206780635
raw,aggregation,arithmetic_mean,40,5.0,0.9895526927557986,6.453560253639634
raw,aggregation,arithmetic_mean,80,1.0,0.92956279752228,0.0
raw,aggregation,trimmed_log_geomean,5,6.0,1.174722856440043,26.183776859901187
raw,aggregation,trimmed_log_geomean,10,5.0,0.9867496452386892,5.992486967278499
raw,aggregation,trimmed_log_geomean,15,4.0,0.9732837380015867,4.54603598123744
raw,aggregation,trimmed_log_geomean,20,2.0,0.9681956309324379,3.999492970234453
raw,aggregation,trimmed_log_geomean,40,3.0,0.9731894004179081,4.5359026357056464
raw,aggregation,trimmed_log_geomean,80,1.0,0.9309618761406305,0.0
raw,aggregation,avg_rank,5,6.0,5.705882352941177,
raw,aggregation,avg_rank,10,4.0,3.3529411764705883,
raw,aggregation,avg_rank,15,3.0,3.2941176470588234,
raw,aggregation,avg_rank,20,2.0,3.235294117647059,
raw,aggregation,avg_rank,40,5.0,3.4705882352941178,
raw,aggregation,avg_rank,80,1.0,1.9411764705882353,
