mode,family,method,frequency_hz,rank,score,gap_vs_best_pct,win_count,top2_count,top3_count,avg_rank,Tw,Tdot,delta,delta_dot
raw,coupling,lambda_0,80,1.0,0.9287842101314162,0.0,8,11,16,1.9411764705882353,0.9924670676906736,0.8694587115706293,0.8073217120514191,0.8117162951297823
raw,coupling,lambda_0,20,2.0,0.969431658011816,4.376414611381962,3,6,9,3.235294117647059,0.991674183419186,0.9200346558691908,0.915836414731188,0.9689706573957474
raw,coupling,lambda_0,15,3.0,0.9726680702961661,4.724871470256864,1,5,10,3.2941176470588234,0.9955065028373621,0.8900544447345994,0.9457138819725897,0.9460557197210555
raw,coupling,lambda_0,40,4.0,0.9845799398927295,6.00739430673769,2,6,8,3.4705882352941178,0.9885614686800216,0.9000875107001636,1.03518859803738,0.9407952880335497
raw,coupling,lambda_0,10,5.0,0.9848164519394912,6.032858999632085,3,6,8,3.3529411764705883,0.9968779103244023,0.9586911671723967,1.0034444620761276,0.8912147831014613
raw,coupling,lambda_0,5,6.0,1.177597949124163,26.78918701229229,0,0,0,5.705882352941177,1.0356789161081457,1.6276717095210784,1.3767746963673468,1.60284260768737
raw,coupling,lambda_0.5,80,1.0,0.9283592852235,0.0,8,11,17,1.8823529411764706,0.9924670676906736,0.8694587115706293,0.8073217120514191,0.8117162951297823
raw,coupling,lambda_0.5,20,2.0,0.969173642526429,4.396396734816199,3,6,8,3.2941176470588234,0.991674183419186,0.9200346558691908,0.915836414731188,0.9689706573957474
raw,coupling,lambda_0.5,15,3.0,0.9723082354558176,4.7340454209748195,2,5,10,3.235294117647059,0.9955065028373621,0.8900544447345994,0.9457138819725897,0.9460557197210555
raw,coupling,lambda_0.5,40,4.0,0.9843073945876438,6.026557848309189,2,6,8,3.4705882352941178,0.9885614686800216,0.9000875107001636,1.03518859803738,0.9407952880335497
raw,coupling,lambda_0.5,10,5.0,0.9847184154383152,6.070831747134076,2,6,8,3.411764705882353,0.9968779103244023,0.9586911671723967,1.0034444620761276,0.8912147831014613
raw,coupling,lambda_0.5,5,6.0,1.179330547800131,27.033850640725852,0,0,0,5.705882352941177,1.0356789161081457,1.6276717095210784,1.3767746963673468,1.60284260768737
raw,coupling,lambda_1,80,1.0,0.9280305714349205,0.0,8,10,17,1.9411764705882353,0.9924670676906736,0.8694587115706293,0.8073217120514191,0.8117162951297823
raw,coupling,lambda_1,20,2.0,0.9689740127861006,4.411863424700901,3,6,8,3.2941176470588234,0.991674183419186,0.9200346558691908,0.915836414731188,0.9689706573957474
raw,coupling,lambda_1,15,3.0,0.9720298524715741,4.74114564659458,2,5,10,3.176470588235294,0.9955065028373621,0.8900544447345994,0.9457138819725897,0.9460557197210555
raw,coupling,lambda_1,40,4.0,0.9840965249426857,6.0413907939558475,2,6,8,3.4705882352941178,0.9885614686800216,0.9000875107001636,1.03518859803738,0.9407952880335497
raw,coupling,lambda_1,10,5.0,0.9846425521854539,6.100227998200536,2,7,8,3.3529411764705883,0.9968779103244023,0.9586911671723967,1.0034444620761276,0.8912147831014613
raw,coupling,lambda_1,5,6.0,1.1806731467082396,27.22351860485408,0,0,0,5.764705882352941,1.0356789161081457,1.6276717095210784,1.3767746963673468,1.60284260768737
