mode,scenario,scenario_id,frequency_hz,included,successful_permutations,total_permutations,source_main4,source_main5,reason
raw,s00,0,5,True,24,24,raw,raw,ok
raw,s00,0,10,True,24,24,raw,raw,ok
raw,s00,0,15,True,24,24,raw,raw,ok
raw,s00,0,20,True,24,24,raw,raw,ok
raw,s00,0,40,True,24,24,raw,raw,ok
raw,s00,0,80,True,24,24,raw,raw,ok
raw,s01,1,5,True,24,24,raw,raw,ok
raw,s01,1,10,True,24,24,raw,raw,ok
raw,s01,1,15,True,24,24,raw,raw,ok
raw,s01,1,20,True,24,24,raw,raw,ok
raw,s01,1,40,True,24,24,raw,raw,ok
raw,s01,1,80,False,0,0,missing,missing,main4+main5+permutation
raw,s02,2,5,True,24,24,raw,raw,ok
raw,s02,2,10,True,24,24,raw,raw,ok
raw,s02,2,15,True,24,24,raw,raw,ok
raw,s02,2,20,True,24,24,raw,raw,ok
raw,s02,2,40,True,24,24,raw,raw,ok
raw,s02,2,80,True,24,24,raw,raw,ok
raw,s03,3,5,True,24,24,raw,raw,ok
raw,s03,3,10,True,24,24,raw,raw,ok
raw,s03,3,15,True,24,24,raw,raw,ok
raw,s03,3,20,True,24,24,raw,raw,ok
raw,s03,3,40,False,0,0,missing,missing,main4+main5+permutation
raw,s03,3,80,True,24,24,raw,raw,ok
raw,s04,4,5,True,24,24,raw,raw,ok
raw,s04,4,10,True,24,24,raw,raw,ok
raw,s04,4,15,True,24,24,raw,raw,ok
raw,s04,4,20,True,24,24,raw,raw,ok
raw,s04,4,40,True,24,24,raw,raw,ok
raw,s04,4,80,True,24,24,raw,raw,ok
raw,s05,5,5,True,24,24,raw,raw,ok
raw,s05,5,10,True,24,24,raw,raw,ok
raw,s05,5,15,True,24,24,raw,raw,ok
raw,s05,5,20,True,24,24,raw,raw,ok
raw,s05,5,40,True,24,24,raw,raw,ok
raw,s05,5,80,True,24,24,raw,raw,ok
raw,s06,6,5,True,24,24,raw,raw,ok
raw,s06,6,10,True,24,24,raw,raw,ok
raw,s06,6,15,True,24,24,raw,raw,ok
