completion_variant,Frequency,Rank,Score,Gap vs best (%),Win count,Top-3 count,Avg rank,Tw,Tdot,delta,delta_dot
c0x09,10,1,0.9526457122231712,0.0,6,11,3.05,0.9911750137502834,0.9282318176668697,0.9370075604399792,0.7558307370247068
c0x09,80,2,0.9637269386254412,1.1632054036552653,7,16,2.5,0.9996783441181911,0.9479684507922291,0.8522692178067844,0.9463971546326915
c0x09,15,3,0.9656106007230825,1.3609349555203876,1,13,3.1,0.9945723353005633,0.844028843370549,0.9250408835105675,0.9457887392992657
c0x09,20,4,0.9714338260638725,1.9722036849203706,3,11,3.2,0.9885039285363575,0.8856199831808801,0.9488953181374274,0.9667177326098734
c0x09,40,5,1.004909040377121,5.486124325483388,3,8,3.6,0.9891319875195246,0.977842177739432,1.0610260706873962,1.039381809973508
c0x09,5,6,1.1555070089120705,21.294516322913548,0,1,5.55,1.0378159693734814,1.554805984390836,1.3445433701339558,1.471069153430662
c0x11,10,1,0.9538301357682298,0.0,6,11,3.05,0.9908219214313997,0.9265520893957991,0.9455005254519382,0.7535018148004875
c0x11,80,2,0.95816914639264,0.4549039144077227,7,16,2.45,0.9903747901956924,0.9939804481820969,0.8328555197138936,0.9544428740626897
c0x11,15,3,0.9665174459677034,1.330143567885389,1,13,3.1,0.9942180327331085,0.8425014887993902,0.9334253834761792,0.9428745042642614
c0x11,20,4,0.9723238805322629,1.9388928982766895,3,11,3.2,0.9881517877544467,0.8840173652842935,0.9574960328778387,0.9637390095946059
c0x11,40,5,1.007047788535464,5.579363743248877,3,8,3.7,0.9998478330197933,0.9393582477810829,1.0472695394694798,1.0434210268942368
c0x11,5,6,1.1561549640562536,21.21183014678689,0,1,5.5,1.0374462618625808,1.5519924075253333,1.3567302086203468,1.4665363850779558
