scenario,scenario_id,frequency_hz,main4_ok,main5_mpc_success,main5_ocp_success,permutation_success_count,permutation_total,included,reason
s00,0,5,True,True,True,24,24,True,ok
s00,0,10,True,True,True,24,24,True,ok
s00,0,15,True,True,True,24,24,True,ok
s00,0,20,True,True,True,24,24,True,ok
s00,0,40,True,True,True,24,24,True,ok
s00,0,80,True,True,True,24,24,True,ok
s01,1,5,True,True,True,24,24,True,ok
s01,1,10,True,True,True,24,24,True,ok
s01,1,15,True,True,True,24,24,True,ok
s01,1,20,True,True,True,24,24,True,ok
s01,1,40,True,True,True,24,24,True,ok
s01,1,80,False,False,False,0,0,False,missing_main4_closest;missing_main5_summary
s02,2,5,True,True,True,24,24,True,ok
s02,2,10,True,True,True,24,24,True,ok
s02,2,15,True,True,True,24,24,True,ok
s02,2,20,True,True,True,24,24,True,ok
s02,2,40,True,True,True,24,24,True,ok
s02,2,80,True,True,True,24,24,True,ok
s03,3,5,True,True,True,24,24,True,ok
s03,3,10,True,True,True,24,24,True,ok
s03,3,15,True,True,True,24,24,True,ok
s03,3,20,True,True,True,24,24,True,ok
s03,3,40,False,False,False,0,0,False,missing_main4_closest;missing_main5_summary
s03,3,80,True,True,True,24,24,True,ok
s04,4,5,True,True,True,24,24,True,ok
s04,4,10,True,True,True,24,24,True,ok
s04,4,15,True,True,True,24,24,True,ok
s04,4,20,True,True,True,24,24,True,ok
s04,4,40,True,True,True,24,24,True,ok
s04,4,80,True,True,True,24,24,True,ok
s05,5,5,True,True,True,24,24,True,ok
s05,5,10,True,True,True,24,24,True,ok
s05,5,15,True,True,True,24,24,True,ok
s05,5,20,True,True,True,24,24,True,ok
s05,5,40,True,True,True,24,24,True,ok
s05,5,80,True,True,True,24,24,True,ok
s06,6,5,True,True,True,24,24,True,ok
s06,6,10,True,True,True,24,24,True,ok
s06,6,15,True,True,True,24,24,True,ok
s06,6,20,True,True,True,24,24,True,ok
s06,6,40,True,True,True,24,24,True,ok
s06,6,80,True,True,True,24,24,True,ok
s07,7,5,True,True,True,24,24,True,ok
s07,7,10,True,True,True,24,24,True,ok
s07,7,15,True,True,True,24,24,True,ok
s07,7,20,True,True,True,24,24,True,ok
s07,7,40,True,True,True,24,24,True,ok
s07,7,80,True,True,True,24,24,True,ok
s08,8,5,True,True,True,24,24,True,ok
s08,8,10,True,True,True,24,24,True,ok
s08,8,15,True,True,True,24,24,True,ok
s08,8,20,True,True,True,24,24,True,ok
s08,8,40,True,True,True,24,24,True,ok
s08,8,80,True,True,True,24,24,True,ok
s09,9,5,True,True,True,24,24,True,ok
s09,9,10,True,True,True,24,24,True,ok
s09,9,15,True,True,True,24,24,True,ok
s09,9,20,True,True,True,24,24,True,ok
s09,9,40,True,True,True,24,24,True,ok
s09,9,80,True,True,True,24,24,True,ok
s10,10,5,True,True,True,24,24,True,ok
s10,10,10,True,True,True,24,24,True,ok
s10,10,15,True,True,True,24,24,True,ok
s10,10,20,True,True,True,24,24,True,ok
s10,10,40,True,True,True,24,24,True,ok
s10,10,80,True,True,True,24,24,True,ok
s11,11,5,True,True,True,24,24,True,ok
s11,11,10,True,True,True,24,24,True,ok
s11,11,15,True,True,True,24,24,True,ok
s11,11,20,True,True,True,24,24,True,ok
s11,11,40,True,True,True,24,24,True,ok
s11,11,80,True,True,True,24,24,True,ok
s12,12,5,True,True,True,24,24,True,ok
s12,12,10,True,True,True,24,24,True,ok
s12,12,15,True,True,True,24,24,True,ok
s12,12,20,True,True,True,24,24,True,ok
s12,12,40,True,True,True,24,24,True,ok
s12,12,80,True,True,True,24,24,True,ok
s13,13,5,True,True,True,24,24,True,ok
s13,13,10,True,True,True,24,24,True,ok
s13,13,15,True,True,True,24,24,True,ok
s13,13,20,True,True,True,24,24,True,ok
s13,13,40,True,True,True,24,24,True,ok
s13,13,80,True,True,True,24,24,True,ok
s14,14,5,True,True,True,24,24,True,ok
s14,14,10,True,True,True,24,24,True,ok
s14,14,15,True,True,True,24,24,True,ok
s14,14,20,True,True,True,24,24,True,ok
s14,14,40,True,True,True,24,24,True,ok
s14,14,80,True,True,True,24,24,True,ok
s15,15,5,True,True,True,24,24,True,ok
s15,15,10,True,True,True,24,24,True,ok
s15,15,15,True,True,True,24,24,True,ok
s15,15,20,True,True,True,24,24,True,ok
s15,15,40,True,True,True,24,24,True,ok
s15,15,80,True,True,True,24,24,True,ok
s16,16,5,True,True,True,24,24,True,ok
s16,16,10,True,True,True,24,24,True,ok
s16,16,15,True,True,True,24,24,True,ok
s16,16,20,True,True,True,24,24,True,ok
s16,16,40,True,True,True,24,24,True,ok
s16,16,80,True,True,True,24,24,True,ok
s17,17,5,True,True,True,24,24,True,ok
s17,17,10,True,True,True,24,24,True,ok
s17,17,15,True,True,True,24,24,True,ok
s17,17,20,True,True,True,24,24,True,ok
s17,17,40,True,True,True,24,24,True,ok
s17,17,80,True,True,True,24,24,True,ok
s18,18,5,True,True,True,24,24,True,ok
s18,18,10,True,True,True,24,24,True,ok
s18,18,15,True,True,True,24,24,True,ok
s18,18,20,True,True,True,24,24,True,ok
s18,18,40,True,True,True,24,24,True,ok
s18,18,80,True,True,True,24,24,True,ok
s19,19,5,True,True,True,24,24,True,ok
s19,19,10,True,True,True,24,24,True,ok
s19,19,15,True,True,True,24,24,True,ok
s19,19,20,True,True,True,24,24,True,ok
s19,19,40,False,False,False,0,0,False,missing_main4_closest;missing_main5_summary
s19,19,80,True,True,True,24,24,True,ok
