scenario,5 Hz,10 Hz,15 Hz,20 Hz,40 Hz,80 Hz
s00,6.0,5.0,2.0,3.0,4.0,1.0
s02,6.0,2.0,4.0,3.0,5.0,1.0
s04,6.0,4.0,3.0,5.0,2.0,1.0
s05,6.0,5.0,4.0,2.0,1.0,3.0
s06,6.0,4.0,3.0,2.0,5.0,1.0
s07,6.0,5.0,2.0,1.0,4.0,3.0
s08,6.0,3.0,4.0,1.0,5.0,2.0
s09,6.0,1.0,5.0,3.0,2.0,4.0
s10,6.0,2.0,5.0,1.0,4.0,3.0
s11,6.0,5.0,2.0,4.0,1.0,3.0
s12,4.0,1.0,5.0,6.0,3.0,2.0
s13,5.0,3.0,1.0,4.0,6.0,2.0
s14,6.0,4.0,5.0,2.0,3.0,1.0
s15,6.0,5.0,3.0,4.0,2.0,1.0
s16,6.0,5.0,3.0,4.0,2.0,1.0
s17,4.0,1.0,2.0,6.0,5.0,3.0
s18,6.0,2.0,3.0,4.0,5.0,1.0
