scenario,best_frequency_hz,rank_5hz,rank_10hz,rank_15hz,rank_20hz,rank_40hz,rank_80hz
s00,80,6.0,5.0,2.0,3.0,4.0,1.0
s02,80,6.0,2.0,4.0,3.0,5.0,1.0
s04,80,6.0,4.0,3.0,5.0,2.0,1.0
s05,40,6.0,5.0,4.0,2.0,1.0,3.0
s06,80,6.0,4.0,3.0,2.0,5.0,1.0
s07,20,6.0,5.0,2.0,1.0,4.0,3.0
s08,20,6.0,3.0,4.0,1.0,5.0,2.0
s09,10,6.0,1.0,5.0,3.0,2.0,4.0
s10,20,6.0,2.0,5.0,1.0,4.0,3.0
s11,40,6.0,5.0,2.0,4.0,1.0,3.0
s12,10,4.0,1.0,5.0,6.0,3.0,2.0
s13,15,5.0,3.0,1.0,4.0,6.0,2.0
s14,80,6.0,4.0,5.0,2.0,3.0,1.0
s15,80,6.0,5.0,3.0,4.0,2.0,1.0
s16,80,6.0,5.0,3.0,4.0,2.0,1.0
s17,10,4.0,1.0,2.0,6.0,5.0,3.0
s18,80,6.0,2.0,3.0,4.0,5.0,1.0
