scenario,frequency_hz,status,score,rank,best_frequency_hz,gap_vs_best_pct,Tw_ratio,Tdot_ratio,delta_ratio,delta_dot_ratio,note,case_type
s00,80,OK,0.9223680598115476,1.0,80,0.0,0.9982991738140281,0.8520319267291414,0.7687151686076608,0.8098519564096888,wins this scenario,win
s02,80,OK,0.9686336164998108,1.0,80,0.0,0.9776098347040504,0.9326603272633552,1.03190527639751,0.8274661203034805,wins this scenario,win
s04,80,OK,0.8403788177953911,1.0,80,0.0,0.9675427281249723,0.6915414191668069,0.7101444075223489,0.5127759378120504,wins this scenario,win
s06,80,OK,0.9122577445115028,1.0,80,0.0,0.9871638081518062,0.8447730686119583,0.745673954077239,0.8319326257387913,wins this scenario,win
s14,80,OK,0.9087788145460048,1.0,80,0.0,1.0077802046492805,0.7982747378713299,0.7307805747253366,0.7543862411496205,wins this scenario,win
s15,80,OK,0.9020559965115069,1.0,80,0.0,1.038411353653227,0.8903219073088492,0.6614296290381854,0.6174865874797525,wins this scenario,win
s16,80,OK,0.950620531718428,1.0,80,0.0,0.9910225870245807,0.804393842644991,0.8981491333474367,0.9228311547597567,wins this scenario,win
s18,80,OK,0.9140426908650574,1.0,80,0.0,0.9973473406785237,0.9612454935047801,0.7091840936449659,0.7739334619417956,wins this scenario,win
s09,80,OK,0.9412666485933017,4.0,10,11.19976985264175,0.9987678173655054,0.9313339268837453,0.733974005133487,1.0209074957301167,,loss/top gap
s10,80,OK,0.9593896632027664,3.0,20,8.749731606011224,0.9996049645733791,1.5620564969141173,0.7930492246705299,0.6630771855597736,top-3,loss/top gap
s07,80,OK,0.8977590078638416,3.0,20,7.472925396522401,0.9818644807697008,0.4877531802232736,0.860941082642288,0.9064888749988134,top-3,loss/top gap
s05,80,OK,0.9665610697055854,3.0,40,6.167011032529657,1.0137377475724838,0.8828969592505359,0.8608050022351688,0.9415248153699554,top-3,loss/top gap
s08,80,OK,0.9413447123663785,2.0,20,4.850588439560588,0.9985893733668333,0.928660864194578,0.7652643270394894,0.9437315876588387,top-3,loss/top gap
s12,80,OK,0.9910565926504478,2.0,10,3.1653583042748457,1.000065757024848,0.8812390892467049,1.0155977510797867,0.9867836965642395,top-3,loss/top gap
s11,80,OK,0.9212427133903915,3.0,40,2.988851908281309,0.9768119593026146,1.0210107310923886,0.8105845463115596,0.7095892627079115,top-3,loss/top gap
s17,80,OK,0.9833296094004377,3.0,10,1.2452070097129786,0.9457984372150677,0.8193203583158989,1.148443877810258,1.1306633058931692,top-3,loss/top gap
s13,80,OK,0.8814812684463601,2.0,15,0.5920445472169522,0.9947815511474177,0.8475103382423409,0.6513484864850084,0.7022603811148036,top-3,loss/top gap
