source_type,frequency_hz,path,row_count,closest_rows,closest_scenarios,notes
Main4/MPC hardware search,5,runs/main4_05hz_s00-s19_retryall_savedpath/main4_shortlist.csv,140,20,"s00,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19",raw comparison source used
Main4/MPC hardware search,10,runs/main4_10hz_s00-s19_retryall_savedpath/main4_shortlist.csv,140,20,"s00,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19",raw comparison source used
Main4/MPC hardware search,15,runs/main4_15hz_s00-s19_retryall_savedpath/main4_shortlist.csv,140,20,"s00,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19",raw comparison source used
Main4/MPC hardware search,20,runs/main4_20hz_s00-s19_retryall_savedpath/main4_shortlist.csv,140,20,"s00,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19",raw comparison source used
Main4/MPC hardware search,40,runs/main4_40hz_s00-s19_retryall_savedpath/main4_shortlist.csv,126,18,"s00,s01,s02,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18",raw comparison source used
Main4/MPC hardware search,80,runs/main4_80hz_s00-s19_retryall_savedpath/main4_shortlist.csv,133,19,"s00,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19",raw comparison source used
Main5/OCP refinement summary,5,runs/main5_ocp_05hz_s00-s19_retryall_savedpath/main5_ocp_refine_summary.csv,20,20,"s00,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19",OCP source used for success filter and hardness weights
Main5/OCP refinement summary,10,runs/main5_ocp_10hz_s00-s19_retryall_savedpath/main5_ocp_refine_summary.csv,20,20,"s00,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19",OCP source used for success filter and hardness weights
Main5/OCP refinement summary,15,runs/main5_ocp_15hz_s00-s19_retryall_savedpath/main5_ocp_refine_summary.csv,20,20,"s00,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19",OCP source used for success filter and hardness weights
Main5/OCP refinement summary,20,runs/main5_ocp_20hz_s00-s19_retryall_savedpath/main5_ocp_refine_summary.csv,20,20,"s00,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19",OCP source used for success filter and hardness weights
Main5/OCP refinement summary,40,runs/main5_ocp_40hz_s00-s19_retryall_savedpath/main5_ocp_refine_summary.csv,18,18,"s00,s01,s02,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18",OCP source used for success filter and hardness weights
Main5/OCP refinement summary,80,runs/main5_ocp_80hz_s00-s19_retryall_savedpath/main5_ocp_refine_summary.csv,19,19,"s00,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19",OCP source used for success filter and hardness weights
Main5/OCP permutations,5,runs/main5_ocp_05hz_s00-s19_retryall_savedpath/main5_ocp_refine_permutations.csv,480,480,"s00,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19",successful permutation rows used for k=ho/hm
Main5/OCP permutations,10,runs/main5_ocp_10hz_s00-s19_retryall_savedpath/main5_ocp_refine_permutations.csv,480,480,"s00,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19",successful permutation rows used for k=ho/hm
Main5/OCP permutations,15,runs/main5_ocp_15hz_s00-s19_retryall_savedpath/main5_ocp_refine_permutations.csv,480,480,"s00,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19",successful permutation rows used for k=ho/hm
Main5/OCP permutations,20,runs/main5_ocp_20hz_s00-s19_retryall_savedpath/main5_ocp_refine_permutations.csv,480,480,"s00,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19",successful permutation rows used for k=ho/hm
Main5/OCP permutations,40,runs/main5_ocp_40hz_s00-s19_retryall_savedpath/main5_ocp_refine_permutations.csv,432,432,"s00,s01,s02,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18",successful permutation rows used for k=ho/hm
Main5/OCP permutations,80,runs/main5_ocp_80hz_s00-s19_retryall_savedpath/main5_ocp_refine_permutations.csv,456,456,"s00,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19",successful permutation rows used for k=ho/hm
